user_id,age_group,gender,country,region,subscription_plan,monthly_fee,subscription_start_date,subscription_end_date,payment_method,discount_applied,churn_status,title,content_type,genre,language,release_year,device_type,watch_time_minutes,session_count,completion_percentage,date_watched,time_of_day,rating,liked,recommendation_source,days_since_last_watch,avg_weekly_watch_time,content_diversity_score
U100000,21,Female,Canada,North America,Basic,8.99,2022-03-01,2022-04-19,Bank Transfer,No,1,Romance Title 525,Series,Romance,Hindi,2000,Mobile,64,2,100,2022-05-23,Night,5,Yes,Trending,54,156,0.35
U100001,17,Female,Nigeria,Africa,Basic,8.99,2022-12-02,2026-02-07,Bank Transfer,No,0,Comedy Title 1211,Movie,Comedy,Portuguese,2002,TV,52,1,86,2023-03-29,Evening,3,No,Trending,55,150,0.49
U100002,60,Male,Nigeria,Africa,Standard,13.99,2023-09-01,2026-02-07,Card,Yes,0,Thriller Title 2197,Series,Thriller,German,2009,TV,91,3,100,2023-09-15,Evening,3,No,Friend,10,245,0.28
U100003,60,Male,Nigeria,Africa,Standard,13.99,2024-05-26,2026-02-07,Card,Yes,0,Action Title 782,Series,Action,Hindi,2000,Mobile,104,3,100,2025-01-31,Afternoon,3,No,Trending,54,285,0.73
U100004,50,Female,Canada,North America,Basic,8.99,2023-12-19,2026-02-07,Bank Transfer,No,0,Drama Title 1679,Movie,Drama,German,2005,Tablet,63,2,100,2024-06-17,Afternoon,4,Yes,Algorithm,8,139,0.42
U100005,40,Female,Nigeria,Africa,Premium,17.99,2023-12-18,2026-02-07,Wallet,Yes,0,Comedy Title 1905,Series,Comedy,Japanese,2010,Mobile,96,3,80,2024-09-25,Morning,4,Yes,Ads,4,395,0.78
U100006,40,Male,South Africa,Africa,Premium,17.99,2022-12-18,2026-02-07,Bank Transfer,No,0,Animation Title 2700,Movie,Animation,Hindi,2013,Laptop,97,3,80,2023-05-29,Evening,5,Yes,Search,30,352,0.46
U100007,30,Male,USA,North America,Standard,13.99,2022-04-27,2026-02-07,Card,No,0,Romance Title 2859,Series,Romance,French,2011,Mobile,83,2,92,2022-10-03,Morning,4,Yes,Trending,59,301,0.65
U100008,30,Female,France,Europe,Premium,17.99,2024-03-10,2026-02-07,Card,No,0,Thriller Title 1671,Movie,Thriller,Portuguese,2014,Mobile,98,3,81,2024-10-24,Morning,5,Yes,Friend,43,396,0.4
U100009,50,Female,France,Europe,Standard,13.99,2024-02-07,2026-02-07,Bank Transfer,Yes,0,Romance Title 2709,Movie,Romance,English,2008,TV,90,3,100,2024-07-22,Evening,4,Yes,Trending,42,316,0.9
